,color_tags
30,"['Gold', 'Green', 'Grey', 'Orange', 'Purple', 'Silver', 'Yellow']"
31,"['Black', 'Brown', 'Burgundy', 'Gold', 'Grey', 'Red', 'Silver', 'Transparent', 'Yellow']"
32,"['Beige', 'Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Navy', 'Pink', 'Red', 'White', 'Yellow']"
33,"['Gold', 'Khaki', 'Multiple Colors', 'Navy', 'Pink', 'Red', 'Yellow']"
34,"['Black', 'Brown', 'Gold', 'Green', 'Khaki', 'Multiple Colors', 'Navy', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'White', 'Yellow']"
35,"['Beige', 'Black', 'Burgundy', 'Gold', 'Khaki', 'Navy', 'Purple', 'Red', 'White']"
36,"['Gold', 'Grey', 'Khaki', 'Pink', 'Purple', 'Silver', 'Yellow']"
37,"['Beige', 'Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Navy', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'White', 'Yellow']"
38,"['Brown', 'Khaki', 'Pink', 'Transparent', 'Yellow']"
39,"['Beige', 'Black', 'Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Purple']"
40,"['Gold', 'Green', 'Grey', 'Khaki', 'Orange', 'Pink', 'Purple', 'Transparent', 'Yellow']"
41,"['Beige', 'Brown', 'Multiple Colors', 'Purple', 'Red', 'Transparent']"
42,"['Beige', 'Black', 'Burgundy', 'Gold', 'Khaki', 'Navy', 'Purple', 'Silver', 'White']"
43,"['Beige', 'Blue', 'Gold', 'Multiple Colors', 'Orange', 'Pink', 'Silver']"
44,"['Beige', 'Black', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Red', 'Silver', 'Transparent', 'White', 'Yellow']"
45,"['Burgundy', 'Green', 'Grey', 'Navy', 'Purple', 'Silver', 'Yellow']"
46,"['Brown', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
47,"['Brown', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Purple', 'Silver']"
48,"['Black', 'Gold', 'Grey', 'Khaki', 'Orange', 'Purple', 'Silver', 'Yellow']"
49,"['Grey', 'Purple', 'Silver', 'Transparent', 'Yellow']"
50,"['Beige', 'Blue', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Orange', 'Pink', 'Purple', 'Red', 'Transparent']"
51,"['Beige', 'Green', 'Grey', 'Khaki', 'Pink', 'Red', 'Transparent']"
52,"['Brown', 'Burgundy', 'Gold', 'Green', 'Khaki', 'Pink', 'Purple', 'Silver', 'White', 'Yellow']"
53,"['Beige', 'Gold', 'Green', 'Grey', 'Navy', 'Pink', 'Red', 'White', 'Yellow']"
54,"['Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'White']"
55,"['Black', 'Brown', 'Burgundy', 'Grey', 'Khaki', 'Navy', 'Orange', 'Purple', 'Red', 'Silver', 'White']"
56,"['Beige', 'Gold', 'Green', 'Khaki', 'Navy', 'Orange', 'Purple', 'Red', 'White']"
57,"['Beige', 'Black', 'Blue', 'Brown', 'Gold', 'Grey', 'Khaki', 'Navy', 'Pink', 'Purple', 'Red', 'Transparent', 'White']"
58,"['Beige', 'Brown', 'Burgundy', 'Pink', 'Red', 'Silver', 'Yellow']"
59,"['Beige', 'Blue', 'Brown', 'Burgundy', 'Orange', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
60,"['Blue', 'Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Orange', 'Purple', 'Red']"
61,"['Beige', 'Black', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Silver', 'Yellow']"
62,"['Brown', 'Green', 'Grey', 'Khaki', 'Red', 'Transparent', 'Yellow']"
63,"['Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
64,"['Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Pink', 'Purple', 'Red', 'Yellow']"
65,"['Brown', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
66,"['Brown', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver']"
67,"['Brown', 'Multiple Colors', 'Navy', 'Purple', 'Silver', 'Transparent', 'Yellow']"
68,"['Brown', 'Green', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'White', 'Yellow']"
69,"['Blue', 'Gold', 'Green', 'Grey', 'Orange', 'Pink', 'Silver']"
70,"['Beige', 'Gold', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Purple', 'Transparent']"
71,"['Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Orange', 'Pink', 'Purple', 'Red', 'Silver']"
72,"['Blue', 'Brown', 'Gold', 'Green', 'Khaki', 'Multiple Colors', 'Purple', 'Silver', 'Yellow']"
73,"['Beige', 'Blue', 'Burgundy', 'Gold', 'Green', 'Navy', 'Purple', 'Red', 'White', 'Yellow']"
74,"['Beige', 'Brown', 'Burgundy', 'Gold', 'Green', 'Khaki', 'Navy', 'Pink', 'Purple', 'Silver', 'Transparent', 'White']"
75,"['Beige', 'Blue', 'Brown', 'Green', 'Grey', 'Navy', 'Purple', 'Silver', 'Transparent', 'Yellow']"
76,"['Beige', 'Blue', 'Brown', 'Grey', 'Purple', 'Red', 'Yellow']"
77,"['Gold', 'Green', 'Khaki', 'Pink', 'Purple', 'Silver', 'Yellow']"
78,"['Beige', 'Brown', 'Burgundy', 'Green', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent', 'Yellow']"
79,"['Beige', 'Blue', 'Brown', 'Green', 'Grey', 'Khaki', 'Pink', 'Purple', 'Transparent']"
80,"['Beige', 'Brown', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
81,"['Black', 'Green', 'Grey', 'Multiple Colors', 'Navy', 'Purple', 'Red', 'Silver', 'Transparent', 'White', 'Yellow']"
82,"['Beige', 'Grey', 'Orange', 'Purple', 'Transparent']"
83,"['Beige', 'Brown', 'Gold', 'Grey', 'Multiple Colors', 'Red', 'Silver', 'Transparent', 'Yellow']"
84,"['Beige', 'Black', 'Green', 'Grey', 'Khaki', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'White', 'Yellow']"
85,"['Beige', 'Brown', 'Green', 'Khaki', 'Pink', 'Red', 'Silver', 'Transparent']"
86,"['Beige', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
87,"['Gold', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent', 'Yellow']"
88,"['Brown', 'Gold', 'Green', 'Khaki', 'Multiple Colors', 'Silver', 'White', 'Yellow']"
89,"['Brown', 'Gold', 'Grey', 'Khaki', 'Purple', 'Red', 'Silver', 'Yellow']"
90,"['Black', 'Brown', 'Gold', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent']"
91,"['Brown', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
92,"['Beige', 'Brown', 'Gold', 'Khaki', 'Navy', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
93,"['Grey', 'Multiple Colors', 'Navy', 'Pink', 'Purple', 'Silver', 'Transparent']"
94,"['Gold', 'Green', 'Grey', 'Purple', 'Red', 'Silver', 'White', 'Yellow']"
95,"['Brown', 'Burgundy', 'Green', 'Orange', 'Pink', 'Purple', 'Silver', 'Yellow']"
96,"['Black', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Red', 'Silver', 'Transparent', 'Yellow']"
97,"['Brown', 'Burgundy', 'Gold', 'Green', 'Orange', 'Pink', 'Purple', 'Silver']"
98,"['Black', 'Brown', 'Burgundy', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Red', 'Silver', 'Yellow']"
99,"['Gold', 'Grey', 'Orange', 'Pink', 'Purple', 'Silver']"
100,"['Brown', 'Gold', 'Green', 'Grey', 'Orange', 'Pink', 'Purple', 'Silver']"
101,"['Beige', 'Brown', 'Gold', 'Grey', 'Khaki', 'Orange', 'Purple', 'Red', 'Silver', 'Yellow']"
102,"['Beige', 'Brown', 'Green', 'Khaki', 'Multiple Colors', 'Navy', 'Pink', 'Purple', 'Silver', 'Transparent', 'White']"
103,"['Beige', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Transparent']"
104,"['Brown', 'Gold', 'Grey', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
105,"['Beige', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Navy', 'Orange', 'Purple', 'Red', 'White']"
106,"['Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Navy', 'Orange', 'Purple', 'Transparent', 'White', 'Yellow']"
107,"['Brown', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Purple', 'Transparent', 'White', 'Yellow']"
108,"['Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Purple', 'White', 'Yellow']"
109,"['Beige', 'Black', 'Brown', 'Gold', 'Khaki', 'Multiple Colors', 'Navy', 'Silver', 'Transparent', 'White', 'Yellow']"
110,"['Burgundy', 'Green', 'Grey', 'Khaki', 'Pink', 'Purple', 'Silver']"
111,"['Beige', 'Blue', 'Brown', 'Green', 'Grey', 'Pink', 'Purple', 'Silver', 'Transparent']"
112,"['Beige', 'Black', 'Brown', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent', 'Yellow']"
113,"['Blue', 'Brown', 'Gold', 'Multiple Colors', 'Pink', 'Red', 'Silver', 'Transparent']"
114,"['Beige', 'Black', 'Brown', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
115,"['Gold', 'Grey', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Silver']"
116,"['Brown', 'Gold', 'Green', 'Grey', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
117,"['Beige', 'Burgundy', 'Grey', 'Khaki', 'Purple', 'Red', 'Silver']"
118,"['Black', 'Brown', 'Gold', 'Multiple Colors', 'Orange', 'Silver', 'Yellow']"
119,"['Beige', 'Black', 'Gold', 'Green', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'White', 'Yellow']"
120,"['Beige', 'Brown', 'Burgundy', 'Gold', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Red', 'Transparent', 'Yellow']"
121,"['Brown', 'Grey', 'Khaki', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
122,"['Beige', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
123,"['Beige', 'Brown', 'Green', 'Khaki', 'Orange', 'Purple']"
124,"['Gold', 'Green', 'Orange', 'Pink', 'Purple', 'Silver', 'White', 'Yellow']"
125,"['Beige', 'Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Pink', 'Purple', 'Red', 'Transparent', 'Yellow']"
126,"['Brown', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
127,"['Blue', 'Gold', 'Multiple Colors', 'Navy', 'Pink', 'Red', 'Silver', 'White', 'Yellow']"
128,"['Beige', 'Black', 'Brown', 'Gold', 'Grey', 'Navy', 'Pink', 'Transparent']"
129,"['Beige', 'Gold', 'Multiple Colors', 'Transparent', 'White']"
130,"['Brown', 'Gold', 'Green', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'White', 'Yellow']"
131,"['Beige', 'Black', 'Brown', 'Burgundy', 'Gold', 'Green', 'Khaki', 'Navy', 'Orange', 'Purple', 'Red', 'Transparent', 'White']"
132,"['Black', 'Green', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
133,"['Gold', 'Grey', 'Khaki', 'Pink', 'Purple', 'Red', 'White', 'Yellow']"
134,"['Brown', 'Gold', 'Green', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Silver', 'Yellow']"
135,"['Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Purple', 'Silver', 'White', 'Yellow']"
136,"['Brown', 'Gold', 'Grey', 'Khaki', 'Pink', 'Red', 'Silver']"
137,"['Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
138,"['Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
139,"['Beige', 'Brown', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
140,"['Burgundy', 'Green', 'Grey', 'Khaki', 'Pink', 'Purple', 'White', 'Yellow']"
141,"['Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
142,"['Brown', 'Grey', 'Multiple Colors', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
143,"['Black', 'Brown', 'Gold', 'Green', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
144,"['Blue', 'Brown', 'Khaki', 'Multiple Colors', 'Pink', 'Red', 'Silver', 'Transparent', 'White']"
145,"['Blue', 'Brown', 'Grey', 'Khaki', 'Pink', 'Purple', 'Red', 'Silver']"
146,"['Blue', 'Brown', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Silver']"
147,"['Black', 'Gold', 'Green', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Red', 'Yellow']"
148,"['Black', 'Gold', 'Khaki', 'Pink', 'Red', 'Yellow']"
149,"['Brown', 'Gold', 'Green', 'Khaki', 'Orange', 'Purple', 'Red', 'White']"
150,"['Brown', 'Gold', 'Green', 'Grey', 'Purple', 'Yellow']"
151,"['Beige', 'Brown', 'Burgundy', 'Gold', 'Green', 'Navy', 'Purple', 'Red', 'Silver']"
152,"['Brown', 'Gold', 'Green', 'Grey', 'Orange', 'Purple', 'Silver']"
153,"['Black', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Transparent']"
154,"['Brown', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Orange', 'Red']"
155,"['Beige', 'Green', 'Khaki', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
156,"['Beige', 'Black', 'Brown', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Red', 'Silver', 'Transparent', 'Yellow']"
157,"['Black', 'Gold', 'Green', 'Khaki', 'Multiple Colors', 'Navy', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
158,"['Beige', 'Brown', 'Gold', 'Grey', 'Navy', 'Pink', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
159,"['Beige', 'Brown', 'Gold', 'Pink', 'Purple', 'Red', 'White', 'Yellow']"
160,"['Beige', 'Black', 'Blue', 'Brown', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Pink', 'Red', 'Yellow']"
161,"['Beige', 'Black', 'Khaki', 'Multiple Colors', 'Silver', 'White', 'Yellow']"
162,"['Beige', 'Blue', 'Brown', 'Burgundy', 'Gold', 'Grey', 'Multiple Colors', 'Navy', 'Red', 'Silver', 'Yellow']"
163,"['Beige', 'Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Navy', 'Pink', 'Yellow']"
164,"['Beige', 'Black', 'Brown', 'Green', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'White', 'Yellow']"
165,"['Beige', 'Black', 'Brown', 'Burgundy', 'Grey', 'Navy', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
166,"['Brown', 'Burgundy', 'Gold', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Red', 'Silver', 'White', 'Yellow']"
167,"['Beige', 'Brown', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Purple', 'Silver', 'Transparent', 'Yellow']"
168,"['Brown', 'Grey', 'Orange', 'Pink', 'Red', 'Silver']"
169,"['Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Transparent', 'Yellow']"
170,"['Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Red', 'Silver', 'Yellow']"
171,"['Blue', 'Gold', 'Grey', 'Khaki', 'Silver', 'Yellow']"
172,"['Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Red', 'Silver', 'Yellow']"
173,"['Black', 'Burgundy', 'Khaki', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
174,"['Blue', 'Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Purple', 'Transparent', 'Yellow']"
175,"['Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Red', 'Yellow']"
176,"['Blue', 'Brown', 'Green', 'Grey', 'Navy', 'Orange', 'Purple', 'Red', 'Silver']"
177,"['Beige', 'Black', 'Brown', 'Gold', 'Grey', 'Multiple Colors', 'Navy', 'Yellow']"
178,"['Gold', 'Grey', 'Khaki', 'Pink', 'Purple', 'Red', 'Transparent', 'White']"
179,"['Blue', 'Grey', 'Multiple Colors', 'Red', 'Silver', 'Yellow']"
180,"['Blue', 'Brown', 'Gold', 'Khaki', 'Purple', 'White']"
181,"['Burgundy', 'Gold', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Red', 'Silver', 'Transparent']"
182,"['Beige', 'Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Orange', 'Red', 'Silver', 'Transparent']"
183,"['Black', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Purple', 'Red']"
184,"['Beige', 'Green', 'Grey', 'Khaki', 'Purple', 'White']"
185,"['Beige', 'Blue', 'Burgundy', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Pink', 'Purple', 'Silver', 'White']"
186,"['Beige', 'Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Purple', 'Silver', 'Transparent']"
187,"['Brown', 'Green', 'Grey', 'Khaki', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
188,"['Beige', 'Black', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Red', 'Silver', 'Transparent', 'Yellow']"
189,"['Beige', 'Brown', 'Grey', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Transparent']"
190,"['Beige', 'Brown', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
191,"['Beige', 'Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Purple', 'Silver', 'Yellow']"
192,"['Brown', 'Grey', 'Khaki', 'Orange', 'Pink', 'Purple', 'Red', 'Silver']"
193,"['Blue', 'Gold', 'Green', 'Grey', 'Khaki', 'Navy', 'Pink', 'Purple', 'Silver']"
194,"['Black', 'Brown', 'Green', 'Grey', 'Orange', 'Pink', 'Silver', 'Transparent']"
195,"['Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
196,"['Brown', 'Burgundy', 'Khaki', 'Multiple Colors', 'Purple', 'Red', 'Silver', 'Yellow']"
197,"['Khaki', 'Pink', 'Purple', 'Silver', 'White', 'Yellow']"
198,"['Brown', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent']"
199,"['Burgundy', 'Green', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Silver', 'Transparent', 'Yellow']"
200,"['Beige', 'Brown', 'Gold', 'Grey', 'Navy', 'Orange', 'Purple', 'Transparent']"
201,"['Blue', 'Burgundy', 'Gold', 'Orange', 'Pink', 'Purple', 'Red', 'Silver']"
202,"['Beige', 'Brown', 'Gold', 'Khaki', 'Orange', 'Red', 'White', 'Yellow']"
203,"['Beige', 'Blue', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
204,"['Brown', 'Burgundy', 'Gold', 'Purple', 'Silver', 'White', 'Yellow']"
205,"['Khaki', 'Orange', 'Pink', 'Red', 'Silver', 'Transparent']"
206,"['Beige', 'Burgundy', 'Gold', 'Green', 'Khaki', 'Navy', 'Orange', 'Purple', 'Red', 'White']"
207,"['Black', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Navy', 'Orange', 'Purple', 'Silver', 'Transparent']"
208,"['Beige', 'Brown', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Red', 'Silver', 'Transparent', 'White', 'Yellow']"
209,"['Beige', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Silver', 'White', 'Yellow']"
210,"['Gold', 'Grey', 'Khaki', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'White']"
211,"['Beige', 'Brown', 'Gold', 'Grey', 'Khaki', 'Navy', 'Orange', 'Purple', 'Silver', 'Transparent', 'Yellow']"
212,"['Blue', 'Brown', 'Khaki', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'White', 'Yellow']"
213,"['Beige', 'Black', 'Brown', 'Gold', 'Grey', 'Khaki', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
214,"['Black', 'Blue', 'Brown', 'Burgundy', 'Gold', 'Purple', 'Silver', 'Transparent', 'Yellow']"
215,"['Beige', 'Black', 'Brown', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Purple', 'Silver', 'Yellow']"
216,"['Brown', 'Burgundy', 'Green', 'Khaki', 'Pink', 'Purple', 'Silver', 'Yellow']"
217,"['Brown', 'Grey', 'Khaki', 'Multiple Colors', 'Purple', 'Red', 'Yellow']"
218,"['Brown', 'Gold', 'Grey', 'Khaki', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
219,"['Brown', 'Grey', 'Multiple Colors', 'Navy', 'Purple', 'Red', 'White', 'Yellow']"
220,"['Beige', 'Black', 'Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Purple', 'Transparent', 'White']"
221,"['Beige', 'Brown', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
222,"['Beige', 'Black', 'Burgundy', 'Gold', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
223,"['Blue', 'Green', 'Grey', 'Multiple Colors', 'Pink', 'Purple', 'Yellow']"
224,"['Brown', 'Gold', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
225,"['Beige', 'Brown', 'Green', 'Grey', 'Multiple Colors', 'Pink', 'Silver', 'Yellow']"
226,"['Beige', 'Brown', 'Gold', 'Khaki', 'Navy', 'Pink', 'Purple', 'Red', 'Silver']"
227,"['Beige', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Red', 'Silver', 'Transparent']"
